candidate,median_ms,cold_ms,allocated_GiB,reserved_GiB,nvml_GiB,detections,cases,matched_detections,mask_iou_mean,mask_iou_min,changed_pixels,compared_pixels,changed_percent,score_max_abs,box_max_abs_px
compact_int8_resolution560,35.232,88471.381,1.2984,1.7617,2.5771,15,5,15,0.93205153,0.6144728633811604,18663,18038400,0.10346261309207025,0.12158203125,26.1904296875
compact_int8_resolution672,40.675,84001.759,1.3308,1.8008,2.8538,15,5,15,0.95396292,0.7824415251521948,13340,18038400,0.07395334397729289,0.05078125,17.6229248046875
compact_int8_resolution784,63.843,87613.32,1.3675,1.877,2.6924,15,5,15,0.97082042,0.8851731281444214,9336,18038400,0.05175625332623736,0.04248046875,8.62762451171875
combined_graph672,66.037,33249.12,1.747,2.1348,2.9482,15,5,15,0.95423843,0.7758951406649617,13407,18038400,0.0743247738158595,0.05419921875,17.187744140625
compact_int8_resolution840,70.475,92324.689,1.4226,1.8984,2.7139,15,5,15,0.97280115,0.8757687576875769,8098,18038400,0.04489311690615576,0.0380859375,7.8927001953125
compact_int8_resolution896,76.037,94897.751,1.4053,1.8965,2.7119,15,5,15,0.97389404,0.8998505231689088,8644,18038400,0.047919992904026966,0.03076171875,4.3155517578125
prune_mlp_keep75,77.952,63179.374,1.4325,1.9707,2.7842,15,5,15,0.92963989,0.5076650943396226,22983,18038400,0.12741152208621606,0.3466796875,54.09686279296875
prune_compensated_keep75,79.105,23257.774,1.378,1.9316,2.9984,5,5,5,0.64908704,0.0,74545,10800000,0.6902314814814815,0.37353515625,1277.079833984375
prune_mlp_keep90,81.903,63649.604,1.4403,1.959,2.7725,15,5,15,0.98274804,0.9286396941701178,5854,18038400,0.032452989178641124,0.0390625,3.304962158203125
skip_mlp_last4,82.378,61836.711,1.4753,2.0664,2.8799,15,5,15,0.99063639,0.974903474903475,3517,18038400,0.01949729466028029,0.05810546875,2.3217239379882812
skip_mlp_last2,83.278,57385.846,1.4927,2.0508,2.8643,15,5,15,0.99246483,0.9803098773402195,2872,18038400,0.01592158949795991,0.01220703125,1.7748184204101562
prune_mlp_late8_keep75,83.561,58373.527,1.4913,2.0742,2.8877,15,5,15,0.99153791,0.97678916827853,3268,18038400,0.018116906155756608,0.02685546875,1.8199844360351562
int8_epilogue_128_128_64_8_v2,83.966,70344.524,1.4556,2.0371,2.8486,15,5,15,0.99701498,0.9928848641655886,1021,18038400,0.005660147241440482,0.0126953125,0.5845947265625
compact_fixed_all_int8,84.178,21120.295,0.8497,1.5879,2.4014,15,5,15,0.99742137,0.9931906614785992,916,18038400,0.005078055703388327,0.0078125,0.49493408203125
folded_norm_attention,84.198,60618.315,1.4539,2.0312,2.8428,15,5,15,0.9955345,0.9854791868344628,1380,18038400,0.007650345928685471,0.0078125,0.63232421875
